_,id,channel_id,channel_name,date,Standardized_Core_Stance_Label,Standardized_Outgroup_Target_Type,Standardized_Ingroup_Focus_Type_Label,Standardized_Emotional_Intensity_Label
Message,242,1151735293,wlm_usa_nebraska,2024-04-02 21:33:53+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,243,1151735293,wlm_usa_nebraska,2024-04-22 22:01:56+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,244,1151735293,wlm_usa_nebraska,2024-04-24 21:03:19+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,245,1151735293,wlm_usa_nebraska,2024-05-07 11:58:54+00:00,None of the Above,,,
Message,246,1151735293,wlm_usa_nebraska,2024-05-20 21:00:45+00:00,Outgroup Hate,,,
Message,247,1151735293,wlm_usa_nebraska,2024-05-28 20:01:35+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,248,1151735293,wlm_usa_nebraska,2024-07-22 21:00:30+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,249,1151735293,wlm_usa_nebraska,2024-08-21 20:02:12+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,250,1151735293,wlm_usa_nebraska,2024-09-17 21:01:25+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,251,1151735293,wlm_usa_nebraska,2024-09-27 12:09:55+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,252,1151735293,wlm_usa_nebraska,2024-10-11 12:02:16+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,253,1151735293,wlm_usa_nebraska,2024-11-11 20:01:14+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,254,1151735293,wlm_usa_nebraska,2024-11-19 23:00:59+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,255,1151735293,wlm_usa_nebraska,2024-12-31 18:02:35+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,181,1218079248,wlm_eu_poland,2024-04-02 21:34:18+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,182,1218079248,wlm_eu_poland,2024-04-22 22:02:17+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,183,1218079248,wlm_eu_poland,2024-04-24 21:03:43+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,184,1218079248,wlm_eu_poland,2024-05-07 12:04:28+00:00,None of the Above,,,
Message,185,1218079248,wlm_eu_poland,2024-05-20 21:01:10+00:00,Outgroup Hate,,,
Message,186,1218079248,wlm_eu_poland,2024-05-28 20:02:00+00:00,Outgroup Threat,,,
Message,187,1218079248,wlm_eu_poland,2024-07-22 21:00:56+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,188,1218079248,wlm_eu_poland,2024-08-20 11:29:02+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,189,1218079248,wlm_eu_poland,2024-08-21 20:02:36+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,190,1218079248,wlm_eu_poland,2024-09-17 21:01:48+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,191,1218079248,wlm_eu_poland,2024-09-27 12:10:18+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,192,1218079248,wlm_eu_poland,2024-10-11 12:02:39+00:00,Ingroup Victimhood,,Social or Ethnic Group,
Message,193,1218079248,wlm_eu_poland,2024-11-11 20:01:38+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,194,1218079248,wlm_eu_poland,2024-11-14 16:54:11+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,198,1218079248,wlm_eu_poland,2024-11-15 18:23:29+00:00,None of the Above,,,
Message,208,1218079248,wlm_eu_poland,2024-11-19 23:01:20+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,219,1218079248,wlm_eu_poland,2024-12-06 19:08:26+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,228,1218079248,wlm_eu_poland,2024-12-31 18:02:58+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,228,1218079248,wlm_eu_poland,2024-12-31 18:02:58+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,253,1218079248,wlm_eu_poland,2025-02-22 15:08:17+00:00,Outgroup Hate,,,
Message,1490,1141232138,wlm_usa_arkansas,2024-04-02 21:33:43+00:00,Ingroup Heroism,,Political or Ideological Activism,
Message,1491,1141232138,wlm_usa_arkansas,2024-04-22 22:01:45+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,1492,1141232138,wlm_usa_arkansas,2024-04-24 21:03:08+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,1493,1141232138,wlm_usa_arkansas,2024-05-07 11:59:26+00:00,None of the Above,,,
Message,1494,1141232138,wlm_usa_arkansas,2024-05-20 21:00:34+00:00,Ingroup Heroism,,Social or Ethnic Group,
Message,1495,1141232138,wlm_usa_arkansas,2024-05-28 20:01:24+00:00,Outgroup Threat,,,
