_,id,channel_id,channel_name,Standardized_Core_Stance_Label,Standardized_Outgroup_Target_Type,Standardized_Ingroup_Focus_Type_Label,Standardized_Emotional_Intensity_Label
Message,1122,1097684148,terapiadomiciliareprecocecovid19,Outgroup Moral Condemnation,,,
Message,1123,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1124,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1125,1097684148,terapiadomiciliareprecocecovid19,Outgroup Moral Condemnation,,,
Message,1126,1097684148,terapiadomiciliareprecocecovid19,Outgroup Moral Condemnation,,,
Message,1127,1097684148,terapiadomiciliareprecocecovid19,Outgroup Moral Condemnation,,,
Message,1130,1097684148,terapiadomiciliareprecocecovid19,Ingroup Heroism,,National citizens and general public,
Message,1131,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1132,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1133,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1134,1097684148,terapiadomiciliareprecocecovid19,,,,
Message,1136,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1137,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1138,1097684148,terapiadomiciliareprecocecovid19,Ingroup Heroism,,Institutions and Elites,
Message,1140,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1141,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1143,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1144,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1145,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1146,1097684148,terapiadomiciliareprecocecovid19,,,,
Message,1147,1097684148,terapiadomiciliareprecocecovid19,Ingroup Heroism,,Institutions and Elites,
Message,1148,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1149,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1150,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1151,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1152,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1153,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1154,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1155,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1156,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1157,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1158,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1160,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1161,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1163,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1164,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1165,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1166,1097684148,terapiadomiciliareprecocecovid19,None of the Above,,,
Message,1167,1097684148,terapiadomiciliareprecocecovid19,Outgroup Moral Condemnation,,,
